period_start,period_end,collection_date,analysis_date,received_date,sample_pt_id,sample_number,pb_mg_l,bdl
2019-01-01,2019-06-30,2019-03-18,2019-03-21,2019-03-22,DS,390320029,0.004,FALSE
2019-01-01,2019-06-30,2019-03-08,2019-03-21,2019-03-22,DS,390320028,0.007,FALSE
2019-01-01,2019-06-30,2019-02-28,2019-03-13,2019-03-22,DS,390305195,0.002,FALSE
2019-01-01,2019-06-30,2019-02-26,2019-03-04,2019-03-15,DS,390226117,0.001,FALSE
2019-01-01,2019-06-30,2019-02-25,2019-03-04,2019-03-15,DS,390226113,0.001,TRUE
2019-01-01,2019-06-30,2019-02-25,2019-03-04,2019-03-15,DS,390226112,0.001,TRUE
2019-01-01,2019-06-30,2019-02-25,2019-03-04,2019-03-15,DS,390226105,0.002,FALSE
2019-01-01,2019-06-30,2019-02-24,2019-03-04,2019-03-15,DS,390226120,0.006,FALSE
2019-01-01,2019-06-30,2019-02-22,2019-03-04,2019-03-15,DS,390226114,0.001,TRUE
2019-01-01,2019-06-30,2019-02-22,2019-03-01,2019-03-15,DS,390222042,0.007,FALSE
2019-01-01,2019-06-30,2019-02-22,2019-03-01,2019-03-15,DS,390222034,0.001,TRUE
2019-01-01,2019-06-30,2019-02-22,2019-03-01,2019-03-15,DS,390222026,0.001,TRUE
2019-01-01,2019-06-30,2019-02-22,2019-03-01,2019-03-15,DS,390222022,0.031,FALSE
2019-01-01,2019-06-30,2019-02-21,2019-03-04,2019-03-15,DS,390226123,0.002,FALSE
2019-01-01,2019-06-30,2019-02-21,2019-03-04,2019-03-15,DS,390226121,0.003,FALSE
2019-01-01,2019-06-30,2019-02-21,2019-03-04,2019-03-15,DS,390226118,0.007,FALSE
2019-01-01,2019-06-30,2019-02-21,2019-03-04,2019-03-15,DS,390226116,0.001,TRUE
2019-01-01,2019-06-30,2019-02-21,2019-03-04,2019-03-15,DS,390226115,0.019,FALSE
2019-01-01,2019-06-30,2019-02-21,2019-03-04,2019-03-15,DS,390226110,0.01,FALSE
2019-01-01,2019-06-30,2019-02-21,2019-03-04,2019-03-15,DS,390226109,0.004,FALSE
2019-01-01,2019-06-30,2019-02-21,2019-03-04,2019-03-15,DS,390226108,0.003,FALSE
2019-01-01,2019-06-30,2019-02-21,2019-03-04,2019-03-15,DS,390226107,0.032,FALSE
2019-01-01,2019-06-30,2019-02-21,2019-03-13,2019-03-15,DS,390226106,0.032,FALSE
2019-01-01,2019-06-30,2019-02-21,2019-03-04,2019-03-15,DS,390226104,0.001,FALSE
2019-01-01,2019-06-30,2019-02-21,2019-03-01,2019-03-15,DS,390222045,0.021,FALSE
2019-01-01,2019-06-30,2019-02-21,2019-03-01,2019-03-15,DS,390222044,0.001,TRUE
2019-01-01,2019-06-30,2019-02-21,2019-03-01,2019-03-15,DS,390222043,0.001,TRUE
2019-01-01,2019-06-30,2019-02-21,2019-03-01,2019-03-15,DS,390222041,0.001,FALSE
2019-01-01,2019-06-30,2019-02-21,2019-03-01,2019-03-15,DS,390222040,0.001,FALSE
2019-01-01,2019-06-30,2019-02-21,2019-03-01,2019-03-15,DS,390222039,0.001,TRUE
2019-01-01,2019-06-30,2019-02-21,2019-03-01,2019-03-15,DS,390222037,0.012,FALSE
2019-01-01,2019-06-30,2019-02-21,2019-03-01,2019-03-15,DS,390222035,0.001,TRUE
2019-01-01,2019-06-30,2019-02-21,2019-03-01,2019-03-15,DS,390222033,0.001,FALSE
2019-01-01,2019-06-30,2019-02-21,2019-03-01,2019-03-15,DS,390222031,0.028,FALSE
2019-01-01,2019-06-30,2019-02-21,2019-03-13,2019-03-15,DS,390222030,0.011,FALSE
2019-01-01,2019-06-30,2019-02-21,2019-03-01,2019-03-15,DS,390222029,0.002,FALSE
2019-01-01,2019-06-30,2019-02-21,2019-03-01,2019-03-15,DS,390222027,0.001,TRUE
2019-01-01,2019-06-30,2019-02-21,2019-03-01,2019-03-15,DS,390222025,0.001,FALSE
2019-01-01,2019-06-30,2019-02-21,2019-03-01,2019-03-15,DS,390222024,0.03,FALSE
2019-01-01,2019-06-30,2019-02-21,2019-03-01,2019-03-15,DS,390222023,0.001,FALSE
2019-01-01,2019-06-30,2019-02-21,2019-03-01,2019-03-15,DS,390222021,0.001,TRUE
2019-01-01,2019-06-30,2019-02-21,2019-03-01,2019-03-15,DS,390222020,0.001,TRUE
2019-01-01,2019-06-30,2019-02-21,2019-03-01,2019-03-15,DS,390222019,0.001,FALSE
2019-01-01,2019-06-30,2019-02-21,2019-03-01,2019-03-15,DS,390222018,0.003,FALSE
2019-01-01,2019-06-30,2019-02-21,2019-03-01,2019-03-15,DS,390222016,0.003,FALSE
2019-01-01,2019-06-30,2019-02-21,2019-03-01,2019-03-15,DS,390222015,0.01,FALSE
2019-01-01,2019-06-30,2019-02-21,2019-03-01,2019-03-15,DS,390222014,0.001,TRUE
2019-01-01,2019-06-30,2019-02-21,2019-03-01,2019-03-15,DS,390222013,0.001,FALSE
2019-01-01,2019-06-30,2019-02-21,2019-03-01,2019-03-15,DS,390222012,0.002,FALSE
2019-01-01,2019-06-30,2019-02-21,2019-03-01,2019-03-15,DS,390222010,0.004,FALSE
2019-01-01,2019-06-30,2019-02-21,2019-03-01,2019-03-15,DS,390222009,0.031,FALSE
2019-01-01,2019-06-30,2019-02-20,2019-03-04,2019-03-15,DS,390226122,0.069,FALSE
2019-01-01,2019-06-30,2019-02-20,2019-03-04,2019-03-15,DS,390226119,0.001,TRUE
2019-01-01,2019-06-30,2019-02-20,2019-03-04,2019-03-15,DS,390226111,0.001,FALSE
2019-01-01,2019-06-30,2019-02-20,2019-03-01,2019-03-15,DS,390222038,0.004,FALSE
2019-01-01,2019-06-30,2019-02-20,2019-03-01,2019-03-15,DS,390222032,0.011,FALSE
2019-01-01,2019-06-30,2019-02-20,2019-03-01,2019-03-15,DS,390222028,0.001,TRUE
2019-01-01,2019-06-30,2019-02-20,2019-03-01,2019-03-15,DS,390222017,0.007,FALSE
2019-01-01,2019-06-30,2019-02-20,2019-03-01,2019-03-15,DS,390222011,0.01,FALSE
2019-01-01,2019-06-30,2019-02-02,2019-03-01,2019-03-15,DS,390222036,0.002,FALSE
2019-07-01,2019-12-31,2019-12-02,2019-12-05,2019-12-19,PBCU15,391203108,0.001,TRUE
2019-07-01,2019-12-31,2019-11-26,2019-12-02,2019-12-13,PBCU2,391126141,0.001,TRUE
2019-07-01,2019-12-31,2019-11-26,2019-12-02,2019-12-13,PBCU7,391126142,0.003,FALSE
2019-07-01,2019-12-31,2019-11-21,2019-12-02,2019-12-17,PBCU35,391126140,0.001,TRUE
